"Date","Site.Name","COUNTY","mean_lat","mean_long","Year","Month","PM2.5","Ozone"
2018-01-01,"Bryson City","Swain",35.434767,-83.442133,2018,1,35,NA
2018-01-01,"Castle Hayne","New Hanover",34.364167,-77.838611,2018,1,13,NA
2018-01-01,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,24,NA
2018-01-01,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,31,NA
2018-01-01,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,20,32
2018-01-01,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2018,1,22,NA
2018-01-01,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,14,NA
2018-01-01,"Millbrook School","Wake",35.856111,-78.574167,2018,1,28,34
2018-01-01,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,15,NA
2018-01-01,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,24,NA
2018-01-02,"Bryson City","Swain",35.434767,-83.442133,2018,1,51,NA
2018-01-02,"Castle Hayne","New Hanover",34.364167,-77.838611,2018,1,15,NA
2018-01-02,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,40,NA
2018-01-02,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,37,NA
2018-01-02,"Frying Pan Mountain","Haywood",35.379167,-82.7925,2018,1,7,NA
2018-01-02,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,38,31
2018-01-02,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2018,1,25.5,NA
2018-01-02,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,20,NA
2018-01-02,"Linville Falls","Avery",35.972347,-81.933072,2018,1,12,NA
2018-01-02,"Millbrook School","Wake",35.856111,-78.574167,2018,1,38.5,31
2018-01-02,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,28,NA
2018-01-02,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,35,NA
2018-01-03,"Bryson City","Swain",35.434767,-83.442133,2018,1,44,NA
